DateTime,Humidity(%),Temperature(°C),MQ5_LPG,MQ8_H2,MQ7_CO,MQ135_Alcohol,MQ135_CO2,MQ135_Toluen,MQ135_NH4,MQ135_Aceton
2024-12-22 01:33:39,72.60,23.60,0.86,52.61,0.64,1.33,425.23,0.55,4.34,0.47
2024-12-22 01:33:41,72.60,23.60,0.84,52.52,0.64,1.32,425.21,0.55,4.31,0.46
2024-12-22 01:33:43,72.50,23.60,0.86,52.42,0.64,1.31,425.19,0.54,4.28,0.46
2024-12-22 01:33:46,72.60,23.60,0.85,52.32,0.64,1.28,425.15,0.53,4.22,0.45
2024-12-22 01:33:48,72.60,23.60,0.84,52.22,0.64,1.30,425.17,0.54,4.25,0.46
2024-12-22 01:33:50,72.60,23.60,0.85,52.52,0.64,1.32,425.21,0.55,4.31,0.46
2024-12-22 01:33:52,72.60,23.60,0.86,52.61,0.64,1.31,425.19,0.54,4.28,0.46
2024-12-22 01:33:55,72.50,23.70,0.86,52.52,0.65,1.32,425.21,0.55,4.31,0.46
2024-12-22 01:33:57,72.50,23.70,0.87,52.61,0.66,1.28,425.15,0.53,4.22,0.45
2024-12-22 01:33:59,72.50,23.70,0.84,52.32,0.64,1.28,425.15,0.53,4.22,0.45
2024-12-22 01:34:01,72.50,23.70,0.84,52.22,0.64,1.26,425.10,0.52,4.17,0.44
2024-12-22 01:34:03,72.50,23.70,0.84,52.22,0.64,1.30,425.17,0.54,4.25,0.46
2024-12-22 01:34:06,72.50,23.70,0.81,51.72,0.62,1.24,425.06,0.51,4.11,0.44
2024-12-22 01:34:08,72.50,23.70,0.85,52.52,0.64,1.31,425.19,0.54,4.28,0.46
2024-12-22 01:34:10,72.50,23.70,0.86,52.52,0.65,1.33,425.23,0.55,4.34,0.47
2024-12-22 01:34:12,72.50,23.70,0.85,52.32,0.64,1.30,425.17,0.54,4.25,0.46
2024-12-22 01:34:14,72.40,23.70,0.82,51.82,0.63,1.26,425.10,0.52,4.17,0.44
2024-12-22 01:34:17,72.50,23.70,0.81,51.63,0.62,1.16,424.89,0.47,3.89,0.40
2024-12-22 01:34:19,72.50,23.70,0.84,52.02,0.64,1.27,425.12,0.53,4.20,0.45
2024-12-22 01:34:21,72.40,23.70,0.83,52.02,0.63,1.26,425.10,0.52,4.17,0.44
